step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
18,0.72,-217.076163347,0.200110358665,-11.3865388263,431.83062692,11.3858267883,-214.717785708,-228.262591815,443.216453709,0.999871711073,100.999871671
19,0.76,-217.07616659,0.187884941965,-11.3352979162,431.830631014,11.3345037159,-214.717785708,-228.223579564,443.165134729,0.999864699907,100.999864658
20,0.8,-217.076170053,0.176718605944,-11.2840625016,431.83063547,11.2831814705,-214.717785708,-228.183513949,443.113816941,0.99985766691,100.999857624
21,0.84,-217.076173746,0.166486395504,-11.2328324796,431.830640314,11.2318598951,-214.717785708,-228.14251983,443.062500209,0.999850603559,100.999850559
22,0.88,-217.076177679,0.157081072069,-11.1816077396,431.830645573,11.1805388158,-214.717785708,-228.100704347,443.011184389,0.999843500591,100.999843454
23,0.92,-217.076181867,0.148410405867,-11.1303881672,431.830651277,11.1292180428,-214.717785708,-228.058159628,442.95986932,0.999836348051,100.9998363
24,0.96,-217.076186325,0.140394759386,-11.079173649,431.830657459,11.0778973732,-214.717785708,-228.014965214,442.908554833,0.99982913553,100.999829086
25,1,-217.076191072,0.13296513018,-11.0279640786,431.830664158,11.0265765939,-214.717785708,-227.971190021,442.857240752,0.999821852331,100.999821801
26,1.04,-217.076196133,0.126061542841,-10.976759366,431.830671415,10.9752554871,-214.717785708,-227.926893956,442.805926902,0.999814487825,100.999814435
27,1.08,-217.076201534,0.119631644882,-10.9255594472,431.830679277,10.9239338357,-214.717785708,-227.882129336,442.754613113,0.999807031814,100.999806978
28,1.12,-217.076207307,0.113629611839,-10.874364298,431.830687798,10.8726114322,-214.717785708,-227.836941993,442.70329923,0.99979947499,100.99979942
29,1.16,-217.07621349,0.10801517397,-10.8231739501,431.830697035,10.8212880884,-214.717785708,-227.791372266,442.651985123,0.999791809592,100.999791753
30,1.2,-217.076220127,0.102752830607,-10.7719885125,431.830707055,10.7699636498,-214.717785708,-227.745455809,442.600670705,0.999784030143,100.999783972
31,1.24,-217.076227269,0.0978111910624,-10.7208081945,431.83071793,10.7186380116,-214.717785708,-227.699224272,442.549355942,0.999776134372,100.999776075
32,1.28,-217.076234973,0.0931623975178,-10.6696333307,431.830729743,10.6673111354,-214.717785708,-227.652705906,442.498040879,0.999768123979,100.999768063
33,1.32,-217.076243305,0.0887816681386,-10.6184644005,431.830742584,10.6159830601,-214.717785708,-227.605926038,442.446725644,0.999760005002,100.999759943
34,1.36,-217.076252342,0.0846468818729,-10.5673020396,431.830756553,10.5646539068,-214.717785708,-227.558907499,442.39541046,0.999751787589,100.999751724
35,1.4,-217.076262166,0.0807382425069,-10.5161470447,431.83077176,10.5133238776,-214.717785708,-227.511670969,442.344095638,0.999743485133,100.99974342
36,1.44,-217.076272875,0.0770379882037,-10.4650003755,431.830788329,10.4619932562,-214.717785708,-227.464235263,442.292781585,0.999735113276,100.999735047
37,1.48,-217.076284575,0.0735301352565,-10.4138631635,431.830806392,10.4106624193,-214.717785708,-227.416617603,442.241468812,0.999726689146,100.999726622
38,1.52,-217.076297383,0.0702002721372,-10.3627367287,431.830826098,10.3593318639,-214.717785708,-227.368833839,442.190157962,0.999718231097,100.999718163
39,1.56,-217.076311431,0.0670353672042,-10.3116226007,431.830847606,10.308002246,-214.717785708,-227.320898664,442.138849852,0.999709758611,100.999709689
40,1.6,-217.076326863,0.0640236134255,-10.2605225342,431.830871091,10.256674423,-214.717785708,-227.272825784,442.087545514,0.999701291742,100.999701221
41,1.64,-217.076343839,0.0611542895517,-10.209438513,431.830896743,10.2053494906,-214.717785708,-227.224628062,442.036246234,0.999692849842,100.999692778
