time_au,N_total_wp,N_wp,N_bath_wp,wp_leftfree,wp_rightfree,wp_free_total,bath_free_total,bath_mzCAP,bath_leftfree,bath_slab,bath_rightfree,bath_pzCAP
3.0,234.942741833,0.9946565983037514,233.94808523469626,0.1001723502810326,0.0011971793699471,0.10136952965097969,9.715290291862534,0.031252075976756236,3.9841114816743564,224.14295007279472,5.731178810188177,0.058592794247567526
3.2,234.940154554,0.9942231989336715,233.94593135506634,0.092028952716946,0.0014640957861067,0.0934930485030527,9.715727385925383,0.030649927354785996,3.9845793797586424,224.14199280569412,5.731148006166742,0.05756123634443346
3.4,234.937597171,0.9937718211156303,233.94382534988435,0.0852281126441511,0.0015033153624904,0.0867314280066415,9.716777864544715,0.03011385557379553,3.9853975302309883,224.1403220734841,5.7313803343137275,0.05661155632617098
3.6,234.93505838,0.9932993156919983,233.941759064308,0.0792037157017147,0.0012452890957221,0.08044900479743679,9.718522844622255,0.029640927536211076,3.98656736251373,224.13785556564935,5.731955482108525,0.05573972668935613
3.8000000000000003,234.932535255,0.9928096223759918,233.939725632624,0.0739263198920475,0.0008520056543216,0.0747783255463691,9.720959792795236,0.029221004263185267,3.9880311911770305,224.13460291757173,5.732928601618206,0.054941918231546344
4.0,234.93002462,0.9923053597430371,233.93771926025698,0.0694974115989445,0.0005416460727565,0.070039057671701,9.724056780620703,0.02885103413896576,3.989734951228229,224.13059944704074,5.734321829392475,0.05421199883950929
4.2,234.927523893,0.9917888379599832,233.93573505504003,0.0652644349325045,0.0005935511388839,0.0658579860713884,9.727744558409228,0.028527545041356767,3.991615840366227,224.12591617650278,5.736128718043,0.05354677508033355
4.4,234.925031452,0.9912625748699524,233.93376887713006,0.0618085583679504,0.0015555230476079,0.0633640814155583,9.731891371069647,0.028243540781863065,3.9935735861876562,224.12069107238796,5.738317784881991,0.05294289258459181
4.6000000000000005,234.922544785,0.9907275707645171,233.9318172142355,0.058425548227004,0.0040386215258222,0.0624641697528262,9.736390265825484,0.02799711019247897,3.9955514243675703,224.11503424938658,5.740838841457914,0.05239558884284422
4.8,234.920060477,0.9901834046342455,233.92987707236574,0.0556754366568041,0.0087955132989644,0.06447094995576849,9.741082779373894,0.02778279662629797,3.9974516543474756,224.10911037255607,5.743631125026417,0.05190112337684794
5.0,234.917571537,0.9896256484745432,233.92794588852544,0.0528478571573826,0.0170841753471492,0.0699320325045318,9.745836675934058,0.027599713024611,3.9992175190671175,224.1030544867081,5.746619156866941,0.05145501314624927
5.2,234.915063448,0.9890419725097571,233.92602147549024,0.0506306717288407,0.0291104482353357,0.0797411199641764,9.750510420292851,0.027443728527637976,4.0007830095986,224.09701318928992,5.749727410694252,0.05105413711839407
