time_au,N_wp,N_total_wprun,N_bath_wprun,abs_wpself,abs_bath_wprun
6.0,0.9852189460508068,234.903576836,233.91835788994922,0.014781053949193823,0.08164211005077959
6.2,0.9830612236454066,234.899505226,233.9164440023546,0.016938776354594065,0.08355599764539079
6.4,0.9799268047195909,234.894455637,233.9145288322804,0.02007319528040974,0.0854711677195894
6.6000000000000005,0.9757435729155126,234.888355079,233.9126115060845,0.024256427084488053,0.08738849391551184
6.8,0.9706972255478213,234.88138843,233.91069120445218,0.029302774452179325,0.08930879554782223
7.0,0.9650403215461689,234.873807515,233.90876719345385,0.034959678453831744,0.09123280654614518
7.2,0.9587783484868134,234.865617179,233.90683883051318,0.04122165151318724,0.09316116948681952
7.4,0.9516493309155634,234.856554877,233.90490554608445,0.0483506690844373,0.09509445391555005
7.6000000000000005,0.9434569966047269,234.846423836,233.90296683939528,0.05654300339527374,0.09703316060472389
7.8,0.9342831313003713,234.835305392,233.90102226069965,0.06571686869962934,0.09897773930035214
8.0,0.9243613234396145,234.823432735,233.89907141156039,0.07563867656038614,0.10092858843961494
8.2,0.9138696805932249,234.810983639,233.89711395840678,0.08613031940677573,0.1028860415932229
8.4,0.9028448935962493,234.797994479,233.89514958540377,0.09715510640375136,0.10485041459622835
8.6,0.8912505084860844,234.784428541,233.89317803251393,0.10874949151391622,0.10682196748606998
8.8,0.8790870189231585,234.770286092,233.89119907307682,0.12091298107684212,0.10880092692318044
9.0,0.8664112643715721,234.755623797,233.88921253262842,0.13358873562842855,0.11078746737157985
9.200000000000001,0.8533290169928771,234.740547266,233.8872182490071,0.14667098300712356,0.11278175099289456
9.4,0.8399423276068377,234.725158391,233.88521606339316,0.16005767239316293,0.11478393660684105
9.6,0.8263521317064509,234.709557946,233.88320581429355,0.17364786829354972,0.11679418570645339
9.8,0.8125963529649264,234.693783769,233.88118741603506,0.18740364703507428,0.11881258396493877
10.0,0.7987134422692673,234.677874187,233.8791607447307,0.20128655773073334,0.12083925526928851
10.200000000000001,0.7847759337138117,234.661901656,233.8771257222862,0.21522406628618895,0.12287427771380521
10.4,0.770829246902543,234.645911555,233.87508230809746,0.2291707530974577,0.12491769190253876
10.6,0.7569132306796521,234.629943669,233.87303043832034,0.24308676932034856,0.12696956167965823
10.8,0.7430481734214084,234.614018284,233.87097011057858,0.2569518265785923,0.12902988942141747
11.0,0.7292878022412338,234.598189116,233.86890131375876,0.27071219775876687,0.13109868624124488
