time_au,cl_z,cl_vz
2.7,-8.195135544796099,2.691587963223304
2.72,-8.141307335928534,2.691232530746579
2.74,-8.087486243566234,2.690874566677078
2.76,-8.03367235326145,2.690513704322884
2.78,-7.979865695393318,2.690151085911092
2.8,-7.926066309825006,2.689787240043439
2.82,-7.87227420579158,2.689420554735659
2.84,-7.818489487635579,2.6890500882833
2.86,-7.764712202260248,2.688680039764474
2.88,-7.710942286045,2.688310215773282
2.9,-7.657179793629317,2.687939192191216
2.92,-7.603424718357352,2.687565575962512
2.94,-7.549677170590816,2.68718865307675
2.96,-7.495937172234282,2.686808809614544
2.98,-7.442204818206235,2.6864271048278
3.0,-7.388480088041169,2.686045109490055
3.02,-7.334763013826632,2.685662809497952
3.04,-7.281053575661251,2.685282081344779
3.06,-7.227351730572841,2.684900405409565
3.08,-7.173657559444869,2.684517090438961
3.1,-7.119971046955282,2.68413237648705
3.12,-7.066292264385386,2.683746286324275
3.14,-7.012621195502311,2.683357858396574
3.16,-6.958957950049523,2.682966788147187
3.18,-6.905302523976424,2.682576031194261
3.2,-6.851654908801753,2.682184662565933
3.22,-6.798015137473786,2.68179335188363
3.24,-6.744383174726408,2.681402225323957
3.26,-6.690759048460829,2.681008617623923
3.28,-6.637142830021452,2.680614020433961
3.3,-6.583534487643471,2.680219313051248
3.32,-6.529934057499402,2.679823211024849
3.34,-6.476341559202477,2.679425784644899
3.36,-6.422757026113606,2.679028516544113
3.38,-6.369180418540712,2.678630623112957
3.4,-6.315611801189088,2.678230832355094
3.42,-6.262051185246508,2.677831854443414
3.44,-6.208498527011352,2.677432429002248
3.46,-6.154953888086419,2.677032641710415
3.48,-6.101417221342935,2.676631970116921
3.5,-6.047888609281742,2.67622949409152
3.52,-5.994368041579274,2.675825554813112
3.54,-5.940855587089217,2.675420394513326
3.56,-5.887351225798741,2.675015180422153
3.58,-5.833854979872331,2.67461055937885
3.6,-5.780366803423587,2.67420706402428
3.62,-5.72688669731136,2.67380168251604
3.64,-5.673414736122946,2.67339577451527
3.66,-5.61995086633075,2.672989380255987
3.68,-5.566495160912706,2.672581967208088
3.7,-5.513047587642426,2.672173158349173
3.72,-5.459608234578739,2.671762065070525
3.74,-5.406177105039604,2.671352250312863
3.76,-5.352754144566224,2.670941425355152
3.78,-5.299339448025398,2.670528606428964
3.8,-5.245933000309066,2.670115485050622
3.82,-5.192534828623374,2.669701206577861
3.84,-5.139144952045951,2.669286466934226
3.86,-5.085763369946005,2.668871226365634
3.88,-5.032390102991326,2.668455014272347
3.9,-4.97902516937511,2.668037470238605
