time_au,flux_-17.5,cum_-17.5,flux_-12.5,cum_-12.5,flux_12.5,cum_12.5,flux_17.5,cum_17.5
3.6,-0.0028635082451001336,-0.01405479490347569,0.01933444004153824,0.9084259118609953,-0.0007549319424842646,-0.0004074654143725133,-0.00024961272921018266,-0.002212283500168128
3.8000000000000003,-0.0007054698235776629,-0.01441169271034347,0.02444855145630122,0.9128042110107792,-0.0008385686662090309,-0.000566815475241843,0.00018988618329524547,-0.002218256154759622
4.0,-0.006609367849353885,-0.015143176477636624,0.008894254990033911,0.9161384916554127,-0.0002786737216692046,-0.0006785397140296664,-4.601752657506377e-05,-0.0022038692890876035
4.2,0.0008396430679984628,-0.015720148955772166,0.018440261216820623,0.9188719432760982,0.001996009125577163,-0.0005068061736388704,0.0001586825446566024,-0.0021926027872794496
4.4,-0.004006259046814328,-0.016036810553653753,0.013349236667259356,0.9220508930645063,0.0070601454064037365,0.00039880927955922036,0.0005948444495430083,-0.0021172500878594886
4.6000000000000005,-0.003244483087257377,-0.016761884767060923,0.00621546271077801,0.92400736300231,0.016654857685357728,0.002770309588735369,0.0008275054510133379,-0.0019750150978038537
4.8,0.0005575239936162113,-0.017030580676425038,0.017038063261542027,0.926332715599542,0.03260693328889784,0.007696488686160908,0.0017082621784533653,-0.0017214383348571841
5.0,-0.004989029539158238,-0.017473731230979242,0.004170381385636676,0.9284535600642598,0.054774655586538205,0.016434647573704518,0.0033778842202701375,-0.0012128236949848334
5.2,-0.00017397235149843406,-0.01799003142004491,0.009568058559488052,0.9298274040587723,0.07454030209969906,0.029366143342328257,0.006517395493561004,-0.00022329572360171835
5.4,-0.0015116805399209164,-0.018158596709186844,0.010595947715419538,0.931843804686263,0.07942494347245048,0.044762667899543224,0.01313481932740266,0.0017419257584946498
5.6000000000000005,-0.00352530896536071,-0.018662295659715007,0.0021254768764631016,0.9331159471454513,0.07257155079116186,0.05996231732590447,0.024216560456106144,0.005477063736845533
5.8,0.0008338054106326714,-0.01893144601518781,0.010619487817301923,0.9343904436148278,0.07944674015430142,0.07516414642045074,0.03955698297362986,0.011854418079819112
6.0,-0.0030392755168410445,-0.01915199302580865,0.004731200180831192,0.9359255124146412,0.1029130268262698,0.09340012311850789,0.055695893244461364,0.02137970570162824
6.2,-0.0011632470079356357,-0.01957224527828632,0.0035803439604792566,0.9367566668287722,0.1071782243102492,0.11440924823215981,0.06301299711864976,0.033250594737939364
6.4,-5.4268311408317864e-05,-0.019693996810220715,0.00867152631679246,0.9379818538564995,0.09503890924149852,0.1346309615873346,0.059951733505239094,0.04554706780032826
6.6000000000000005,-0.0029288862487107277,-0.01999231226623262,0.0019297936119515627,0.9390419858493738,0.10693295772297295,0.15482814828378175,0.060084341089541735,0.05755067525980635
6.8,0.00046238104691356655,-0.020238962786412337,0.004370847927010596,0.93967205000327,0.11513295540753682,0.17703473959683264,0.07395644463571122,0.0709547538323316
7.0,-0.0015881269558189006,-0.020351537377302872,0.007068937911023292,0.9408160285870735,0.10406646856661558,0.1989546819942479,0.08671544197042697,0.08702194249294544
7.2,-0.0008412832865868395,-0.020594478401543447,-0.0012814527553759684,0.9413947771026382,0.11137951537687481,0.22049928038859695,0.08133792185814345,0.1038272788758025
7.4,0.0005388857390554065,-0.02062471815629659,0.007588060955090565,0.9420254379226096,0.10962066615355798,0.24259929854164025,0.07839105480354636,0.11980017654197149
7.6000000000000005,-0.00128511195787616,-0.020699340778178667,0.001442833593135207,0.9429285273774322,0.10650715842999021,0.2642120809999951,0.09262609593781476,0.1369018916161076
7.8,0.003524628919890442,-0.02047538908197724,-0.00027560375580341413,0.9430452503611654,0.10601080488631164,0.2854638773316252,0.0928437154478313,0.15544887275467215
8.0,-0.0021994432842893804,-0.020342870518417135,0.009047011020392058,0.9439223910876242,0.10138282664256176,0.3062032404845126,0.086657833296848,0.17339902762914008
8.2,0.011523409072584999,-0.019410473939587575,-0.007654392052501714,0.9440616529844132,0.1045451424489321,0.3267960373936619,0.09470396765079293,0.19153520772390412
8.4,-0.0047811644711593096,-0.018736249479445004,0.013927459654089697,0.944688959744572,0.09222329171358808,0.34647288080991406,0.09132242366064762,0.21013784685504827
8.6,0.02267804196760304,-0.01694656172980064,-0.007908917363238139,0.9452908139736572,0.1011109187836131,0.3658063018596341,0.09161955490781608,0.22843204471189457
8.8,-0.007910917403739007,-0.015469849273414228,0.016588914692515645,0.946158813706585,0.08699436127367509,0.384616829865363,0.09438227988684555,0.24703222819136084
9.0,0.023864492051493044,-0.01387449180863883,-0.00375906592372183,0.9474417985834643,0.09213583715985696,0.40252984970871614,0.08667758343934545,0.2651382145239799
9.200000000000001,-0.007429836976784267,-0.012231026301167944,0.01955484164299982,0.9490213761553922,0.08470729121197519,0.42021416254589944,0.09288619115310265,0.2830945919832248
9.4,0.011962727988796122,-0.01177773719996676,0.000608405404960049,0.9510377008601881,0.08269322581842933,0.4369542142489398,0.08334493251796138,0.3007177043503311
9.6,0.01195595751529192,-0.009385868649557965,0.021785258956130576,0.9532770672962971,0.08136760797501805,0.4533602976282845,0.08746912341059394,0.3177991099431866
9.8,0.0021744813518763846,-0.007972824762841127,0.0008116496477993092,0.9555367581566901,0.07550601748451972,0.4690476601742384,0.08400416485286538,0.3349464387695326
10.0,0.021128477836170178,-0.005642528844036479,0.020925461473617596,0.9577104692688319,0.07562822791344102,0.4841610847140344,0.07996187342990384,0.35134304259780946
10.200000000000001,0.004961990406073512,-0.003033482019812096,-0.004798903811484279,0.9593231250350452,0.07049837710299658,0.49877374521567824,0.08368640954455703,0.36770787089525564
10.4,0.0013870468401995925,-0.002398578295184788,0.021141533653234856,0.9609573880192203,0.06859618882785672,0.5126832018087635,0.07308929709533334,0.38338544155924464
10.6,0.02241142420804103,-1.8731190360733816e-05,0.006517764760277965,0.9637233178605715,0.06641885366315466,0.5261847060578646,0.0804385212341176,0.3987382233921897
10.8,0.007432234944463252,0.0029656347248897103,0.008710342379276759,0.965246128574527,0.061786249473038776,0.539005216371484,0.0671142382872402,0.41349349934432555
11.0,0.001019684807344519,0.0038108267000704845,0.024324790364431772,0.9685496418488978,0.06264506393929675,0.5514483477127176,0.07638954729226219,0.42784387790227574
11.200000000000001,0.017094217465452644,0.00562221692735021,-0.0035926867895448972,0.9706228522063866,0.055526271639007016,0.563265481270548,0.06166873494824817,0.44164970612632687
11.4,0.013462700762552583,0.00867790875015072,0.013749815351580492,0.9716385650625902,0.05930972006999875,0.5747490804414486,0.07293695601704323,0.45511027522285596
11.6,0.0034885766104651703,0.01037303648745249,0.02381116602662275,0.9753946632004105,0.049401653682076004,0.585620217816656,0.05701768801645288,0.46810573962620555
11.8,0.0055233586134705095,0.011274230009846063,-0.0026283050547107473,0.9775129492976017,0.056882423821113526,0.596248625566975,0.06917589474256236,0.48072509790210716
12.0,0.01445034040398114,0.013271599911591221,0.010783801414842267,0.9783284989336148,0.04292435619087863,0.6062293035681742,0.054318155385100715,0.4930745029148734
12.200000000000001,0.0136809865568582,0.01608473260767517,0.024423162862982,0.9818491953613973,0.05597427114010883,0.616119166301273,0.06419149345705075,0.5049254677990886
12.4,0.0032339164845804273,0.017776222911819028,0.004787712467036597,0.984770282894399,0.03585297190007902,0.6253018906052917,0.052114168122749105,0.5165560339570686
12.6,0.0021301641830640964,0.018312630978583478,-0.0013835439887525094,0.9851106997422274,0.05728041716998756,0.6346152295122983,0.0605439235462351,0.527821843123967
12.8,0.012254149394033551,0.01975106233629325,0.023566320878561177,0.9873289774312083,0.028747142151879512,0.643217985444485,0.046414066355319764,0.5385176421141225
13.0,0.012647555731135986,0.022241232848810195,0.014830919434402526,0.9911687014625047,0.06025588462556337,0.6521182881222293,0.06019558037318608,0.549178606786973
13.200000000000001,0.007333833407077686,0.02423937176263157,0.0014855482749474244,0.9928003482334397,0.02419565634684261,0.6605634422194699,0.03984069283565607,0.5591822341078572
13.4,0.00229719998651281,0.02520247510199062,0.004364565073528958,0.9933853595682873,0.06033171008287902,0.669016178862442,0.05936594384761143,0.5691028977761838
13.6,0.0016899080701162574,0.025601185907653524,0.015194016058287949,0.995341217681469,0.027336123901639496,0.6777829622608939,0.036801830824579586,0.578719675243403
13.8,0.010528825944449104,0.026823059309110067,0.020301694851523538,0.9988907887724502,0.048776572935585384,0.6853942319446164,0.05734824299671521,0.5881346826255325
