kpoint_index,state_index,eigenvalue_ev_old,eigenvalue_ev_new,delta_ev
2,4,-47.21342007467951,-47.18925466858696,0.0241654060925498
2,5,-47.214293041624906,-47.19225846428579,0.02203457733911307
2,6,-47.214731211776055,-47.192918704558735,0.02181250721731942
2,7,-47.21199766330638,-47.192817794836024,0.0191798684703528
2,8,-47.21018507962384,-47.202163091327726,0.008021988296114557
2,9,-47.21121417004692,-47.213678480621425,-0.0024643105745028038
2,10,-47.21152341245764,-47.200789575478204,0.01073383697943342
2,11,-47.208791718082296,-47.2099757603435,-0.001184042261201057
2,12,-47.20936978080823,-47.20967908578881,-0.00030930498057557543
2,13,-47.21045366042798,-47.20186487666191,0.008588783766072083
2,14,-47.21000592309167,-47.203408099867964,0.0065978232237071666
2,15,-47.20951434994655,-47.20200913926777,0.007505210678779406
2,16,-47.21037127691582,-47.202490344810236,0.007880932105585714
2,17,-47.20802945983165,-47.21010016451669,-0.0020707046850390043
2,18,-47.208990420117296,-47.201086840301194,0.007903579816101569
2,19,-47.20913930125488,-47.20563201371681,0.0035072875380706137
2,20,-47.207072145376785,-47.202612096031096,0.004460049345688333
2,21,-47.207932981510126,-47.20799146158549,-5.848007536712885e-05
2,22,-47.20840908485018,-47.20856552633265,-0.00015644148246707346
2,23,-47.206569712266464,-47.207266297222006,-0.0006965849555413683
2,24,-47.20737594519868,-47.19931596774337,0.00805997745531073
2,25,-47.20758290846741,-47.208634788975594,-0.0010518805081858318
2,26,-47.205662561915084,-47.204434975257534,0.0012275866575492955
2,27,-47.20586251929868,-47.20850462601292,-0.0026421067142408106
2,28,-47.20622019495482,-47.21449356263522,-0.008273367680402544
2,29,-47.20534852761897,-47.20819955743185,-0.002851029812873662
2,30,-47.20614221213716,-47.21215697420749,-0.006014762070329027
2,31,-47.2064950575521,-47.2104338523742,-0.003938794822104796
2,32,-47.2059170831029,-47.213114110450356,-0.007197027347459084
2,33,-47.206557840465734,-47.21132717116326,-0.004769330697527607
2,34,-47.20482746020088,-47.22131361969747,-0.01648615949658705
2,35,-47.20493470172909,-47.21753177634085,-0.012597074611761627
2,36,-47.20532762770179,-47.21336101804223,-0.008033390340436597
2,37,-47.20543820815226,-47.22017194215426,-0.014733734002000176
2,38,-47.20582626112978,-47.217833829988216,-0.012007568858436457
2,39,-47.206186699724775,-47.21720559683543,-0.011018897110652404
2,40,-47.205484283159905,-47.21835777610322,-0.012873492943313636
2,41,-47.20538887636781,-47.21917874051748,-0.013789864149664766
2,42,-47.20552191572993,-47.21829845304006,-0.012776537310131175
2,43,-47.20545627696145,-47.218006441169464,-0.012550164208015246
2,44,-47.206148983000276,-47.21673866906298,-0.010589686062701276
2,45,-47.20601961974241,-47.21831084498998,-0.012291225247565762
2,46,-47.20327256665604,-47.220048861822626,-0.016776295166586408
2,47,-47.201472389475256,-47.217721398475035,-0.01624900899977888
2,48,-47.20219265600609,-47.22046304723561,-0.01827039122952101
2,49,-47.20261396112291,-47.21972981769752,-0.017115856574612565
2,50,-47.1996223459086,-47.21519402438118,-0.015571678472575456
2,51,-47.200506064409566,-47.215834508143054,-0.015328443733487518
2,52,-47.20094495912674,-47.21486970272118,-0.013924743594444067
2,53,-47.197746631042875,-47.212032435040236,-0.014285803997360347
2,54,-3.9760557060715094,-3.975957791243004,9.791482850518562e-05
2,55,-3.459086853011502,-3.4498209971761047,0.009265855835397296
2,56,-3.460052603998924,-3.4659557257672677,-0.005903121768343844
2,57,-3.46043627822379,-3.4635516193343454,-0.0031153411105555584
2,58,-2.946946222632883,-2.937554564775081,0.009391657857801938
2,59,-2.9479100080958074,-2.9539086373871943,-0.005998629291386948
2,60,-2.9482926251487385,-2.9514320159848078,-0.003139390836069289
2,61,-2.431945672694022,-2.4318202979010053,0.0001253747930167748
2,62,-2.4166956632283316,-2.407216550445894,0.009479112782437404
2,63,-2.4176566579542293,-2.42371225029845,-0.006055592344220706
2,64,-2.4180482453143806,-2.4212185182839367,-0.003170272969556187
2,65,-1.9246609065306923,-1.9211514847253466,0.003509421805345747
2,66,-1.9252799987691345,-1.9141115726044577,0.011168426164676726
2,67,-1.9254605949751014,-1.9204685171439357,0.00499207783116562
2,68,-1.9252545282383975,-1.9293862104323447,-0.004131682193947217
2,69,-1.92594080813008,-1.9365667955132941,-0.010625987383214186
2,70,-1.926322212315664,-1.9307955101295904,-0.004473297813926358
2,71,-1.4095511885395384,-1.4109085854596484,-0.0013573969201099434
2,72,-1.409628837551177,-1.4120853339768582,-0.0024564964256812427
2,73,-1.4097876142444115,-1.4057289074879316,0.004058706756479902
2,74,-1.013283511449439,-1.0039452591766302,0.009338252272808711
2,75,-1.0141668122805139,-1.019991479525271,-0.0058246672447570536
2,76,-1.0145273916965454,-1.0177325015997234,-0.003205109903178016
2,77,-0.835355189550462,-0.837142094442947,-0.0017869048924850084
2,78,-0.8354402815453841,-0.8368088709433005,-0.0013685893979163977
2,79,-0.8355575641822756,-0.831749783040107,0.0038077811421685093
2,80,-0.44344131803166864,-0.44381369967083223,-0.00037238163916358813
2,81,-0.4435375791022025,-0.4457325644105065,-0.0021949853083040316
2,82,-0.4435050034532761,-0.4406805029043554,0.0028245005489206942
2,83,-0.42633313695130315,-0.41854414730080497,0.007788989650498179
2,84,-0.4264005947233082,-0.421868569765202,0.004532024958106229
2,85,-0.42628812380219977,-0.431013235447351,-0.004725111645151214
2,86,-0.42691092226315575,-0.4349858602669494,-0.008074938003793664
2,87,-0.4272156769822529,-0.4334611062792151,-0.006245429296962202
2,88,-0.42522131740474595,-0.16552375905133912,0.2596975583534068
2,89,-0.16846097340159513,-0.16613420703067272,0.002326766370922412
2,90,-0.16870652622564988,-0.17389435834599595,-0.00518783212034607
2,91,-0.13025829988721294,0.0878870709125271,0.21814537079974003
2,92,0.07820210605231653,0.07113251544127898,-0.0070695906110375545
2,93,0.07727806849277202,0.07360448927978078,-0.003673579212991246
2,94,0.0768987395646159,0.5020123749346901,0.4251136353700742
2,95,0.49949043482310995,0.497877268473715,-0.0016131663493949566
2,96,0.4991747093569734,0.6231639211478054,0.123989211790832
2,97,1.1218501947931363,0.9948708339219631,-0.12697936087117323
2,98,1.1657029316135994,1.1523680725449146,-0.013334859068684812
