name,mode,E_eV,k0,L_total,Lhalf,eta_Ha,epsilon,absorbed_fraction,z_in,Lcell_z,tau,N_STEPS,dx,sigma
run_mask_E100_L10,mask,100.0,2.71106,10.0,5.0,0.0,0.0189692,0.979321,12.5195,35.039,16.613,1661.0,0.276644,2.08658
run_mask_E100_L16,mask,100.0,2.71106,16.0,8.0,0.0,0.00133205,0.998346,12.5195,41.039,21.0393,2104.0,0.276644,2.08658
run_mask_E100_L20,mask,100.0,2.71106,20.0,10.0,0.0,0.000226684,0.999704,12.5195,45.039,23.9902,2399.0,0.276644,2.08658
run_mask_E100_L26,mask,100.0,2.71106,26.0,13.0,0.0,2.14001e-05,0.999972,12.5195,51.039,28.4165,2842.0,0.276644,2.08658
run_mask_E100_L30,mask,100.0,2.71106,30.0,15.0,0.0,5.41904e-06,0.999993,12.5195,55.039,31.3674,3137.0,0.276644,2.08658
run_mask_E10_L10,mask,10.0,0.857314,10.0,5.0,0.0,0.389675,0.610247,39.5901,89.1801,115.687,11569.0,0.3,6.59835
run_mask_E10_L16,mask,10.0,0.857314,16.0,8.0,0.0,0.291644,0.707618,39.5901,95.1801,129.684,12968.0,0.3,6.59835
run_mask_E10_L20,mask,10.0,0.857314,20.0,10.0,0.0,0.232771,0.765519,39.5901,99.1801,139.016,13902.0,0.3,6.59835
run_mask_E10_L26,mask,10.0,0.857314,26.0,13.0,0.0,0.150481,0.845938,39.5901,105.18,153.013,15301.0,0.3,6.59835
run_mask_E10_L30,mask,10.0,0.857314,30.0,15.0,0.0,0.105068,0.890429,39.5901,109.18,162.344,16234.0,0.3,6.59835
run_mask_E16_L10,mask,16.0,1.08442,10.0,5.0,0.0,0.30401,0.695526,31.2987,72.5975,76.1671,7617.0,0.3,5.21646
run_mask_E16_L16,mask,16.0,1.08442,16.0,8.0,0.0,0.191055,0.806636,31.2987,78.5975,87.2328,8723.0,0.3,5.21646
run_mask_E16_L20,mask,16.0,1.08442,20.0,10.0,0.0,0.12968,0.867622,31.2987,82.5975,94.61,9461.0,0.3,5.21646
run_mask_E16_L26,mask,16.0,1.08442,26.0,13.0,0.0,0.0611616,0.93477,31.2987,88.5975,105.676,10568.0,0.3,5.21646
run_mask_E16_L30,mask,16.0,1.08442,30.0,15.0,0.0,0.0358234,0.961893,31.2987,92.5975,113.053,11305.0,0.3,5.21646
run_mask_E2_L10,mask,2.0,0.383402,10.0,5.0,0.0,0.666231,0.333759,88.5262,187.052,513.958,51396.0,0.3,14.7544
run_mask_E2_L16,mask,2.0,0.383402,16.0,8.0,0.0,0.592313,0.407676,88.5262,193.052,545.256,54526.0,0.3,14.7544
run_mask_E2_L20,mask,2.0,0.383402,20.0,10.0,0.0,0.558019,0.441929,88.5262,197.052,566.122,56612.0,0.3,14.7544
run_mask_E2_L26,mask,2.0,0.383402,26.0,13.0,0.0,0.509574,0.490309,88.5262,203.052,597.421,59742.0,0.3,14.7544
run_mask_E2_L30,mask,2.0,0.383402,30.0,15.0,0.0,0.480445,0.519276,88.5262,207.052,618.287,61829.0,0.3,14.7544
run_mask_E300_L10,mask,300.0,4.6957,10.0,5.0,0.0,0.000155818,0.999813,7.22813,24.4563,7.33783,734.0,0.18,1.20469
run_mask_E300_L16,mask,300.0,4.6957,16.0,8.0,0.0,2.32069e-06,0.999997,7.22813,30.4563,9.89336,989.0,0.18,1.20469
run_mask_E300_L20,mask,300.0,4.6957,20.0,10.0,0.0,2.46299e-07,1.0,7.22813,34.4563,11.5971,1160.0,0.18,1.20469
run_mask_E300_L26,mask,300.0,4.6957,26.0,13.0,0.0,1.67299e-08,1.0,7.22813,40.4563,14.1526,1415.0,0.18,1.20469
run_mask_E300_L30,mask,300.0,4.6957,30.0,15.0,0.0,3.80537e-09,1.0,7.22813,44.4563,15.8563,1586.0,0.18,1.20469
run_mask_E32_L10,mask,32.0,1.53361,10.0,5.0,0.0,0.165118,0.833913,22.1315,54.2631,41.9032,4190.0,0.3,3.68859
run_mask_E32_L16,mask,32.0,1.53361,16.0,8.0,0.0,0.0646483,0.932825,22.1315,60.2631,49.7278,4973.0,0.3,3.68859
run_mask_E32_L20,mask,32.0,1.53361,20.0,10.0,0.0,0.0284115,0.969326,22.1315,64.2631,54.9443,5494.0,0.3,3.68859
run_mask_E32_L26,mask,32.0,1.53361,26.0,13.0,0.0,0.00748786,0.991582,22.1315,70.2631,62.769,6277.0,0.3,3.68859
run_mask_E32_L30,mask,32.0,1.53361,30.0,15.0,0.0,0.00320979,0.996405,22.1315,74.2631,67.9854,6799.0,0.3,3.68859
run_mask_E4_L10,mask,4.0,0.542213,10.0,5.0,0.0,0.555242,0.444746,62.5974,135.195,267.782,26778.0,0.3,10.4329
run_mask_E4_L16,mask,4.0,0.542213,16.0,8.0,0.0,0.476814,0.523067,62.5974,141.195,289.913,28991.0,0.3,10.4329
run_mask_E4_L20,mask,4.0,0.542213,20.0,10.0,0.0,0.430574,0.569129,62.5974,145.195,304.668,30467.0,0.3,10.4329
run_mask_E4_L26,mask,4.0,0.542213,26.0,13.0,0.0,0.370224,0.628703,62.5974,151.195,326.799,32680.0,0.3,10.4329
run_mask_E4_L30,mask,4.0,0.542213,30.0,15.0,0.0,0.329131,0.668982,62.5974,155.195,341.554,34155.0,0.3,10.4329
run_mask_E64_L10,mask,64.0,2.16885,10.0,5.0,0.0,0.0574617,0.940983,15.6494,41.2987,23.6525,2365.0,0.3,2.60823
run_mask_E64_L16,mask,64.0,2.16885,16.0,8.0,0.0,0.00861329,0.989942,15.6494,47.2987,29.1854,2919.0,0.3,2.60823
run_mask_E64_L20,mask,64.0,2.16885,20.0,10.0,0.0,0.0021915,0.997415,15.6494,51.2987,32.874,3287.0,0.3,2.60823
run_mask_E64_L26,mask,64.0,2.16885,26.0,13.0,0.0,0.000300315,0.999636,15.6494,57.2987,38.4068,3841.0,0.3,2.60823
run_mask_E64_L30,mask,64.0,2.16885,30.0,15.0,0.0,9.27658e-05,0.999887,15.6494,61.2987,42.0954,4210.0,0.3,2.60823
