name,k0,E_eV,L,anchor,showcase,eps,rc,seconds,status
run_mfa_E0011.98_L40,0.9385312716862704,11.984451627744185,40,0,0,0.00711505,0,102.54050016403198,OK
run_mfa_E0022.24_L40,1.2785935175542373,22.242605935936293,40,0,0,0.000282686,0,65.61546778678894,OK
run_mfa_E0041.28_L40,1.74187204246743,41.28128129584446,40,0,0,4.96138e-06,0,43.92303729057312,OK
run_mfa_E0076.62_L40,2.373012353553521,76.61621081338018,40,0,0,9.69277e-08,0,38.99225473403931,OK
run_mfa_E0142.20_L40,3.2328365648149595,142.19625881600786,40,0,0,3.09616e-09,0,23.243293523788452,OK
run_mfa_E0263.91_L40,4.404204739665239,263.90989330599865,40,0,0,1.68901e-09,0,24.487389087677002,OK
run_mfa_E0489.80_L40,6.0,489.804952427784,40,0,0,5.90388e-10,0,17.538021326065063,OK
run_mfa_E0000.54_L50,0.20000000000000004,0.5442277249197601,50,0,0,0.501532,0,2118.0371215343475,OK
run_mfa_E0001.01_L50_show,0.27246689718861966,1.0100623041256227,50,0,1,0.386145,0,1584.962340593338,OK
run_mfa_E0001.87_L50,0.3711910503179693,1.8746304377748904,50,0,0,0.259207,0,604.9812171459198,OK
run_mfa_E0003.48_L50,0.5056863687216094,3.47923020577848,50,0,0,0.11443,0,343.46840810775757,OK
run_mfa_E0006.46_L50,0.6889139791807859,6.457295571904591,50,0,0,0.0204018,0,284.1631438732147,OK
run_mfa_E0011.98_L50,0.9385312716862704,11.984451627744185,50,0,0,0.0013067,0,175.56973338127136,OK
run_mfa_E0022.24_L50,1.2785935175542373,22.242605935936293,50,0,0,3.40843e-05,0,110.84427690505981,OK
run_mfa_E0041.28_L50,1.74187204246743,41.28128129584446,50,0,0,5.23963e-07,0,74.98750376701355,OK
run_mfa_E0076.62_L50,2.373012353553521,76.61621081338018,50,0,0,7.39581e-09,0,38.761910915374756,OK
run_mfa_E0142.20_L50_show,3.2328365648149595,142.19625881600786,50,0,1,2.59205e-09,0,41.341132402420044,OK
run_mfa_E0263.91_L50,4.404204739665239,263.90989330599865,50,0,0,1.25112e-09,0,24.936241149902344,OK
run_mfa_E0489.80_L50,6.0,489.804952427784,50,0,0,6.45575e-10,0,17.917393684387207,OK
