step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
22,0.88,-217.076218951,0.0764632677741,-10.7308013039,431.830686943,10.7296363361,-214.717785708,-227.730556987,442.560323279,0.999966781679,100.999966735
23,0.92,-217.076228792,0.0763896886838,-10.6591037689,431.830698321,10.6578243945,-214.717785708,-227.658942873,442.488522716,0.999966641808,100.999966594
24,0.96,-217.076239476,0.07631296716,-10.5874123205,431.830710753,10.5860119498,-214.717785708,-227.587338829,442.416722703,0.999966504531,100.999966455
25,1,-217.076251062,0.0762331184975,-10.5157271855,431.830724319,10.5141989576,-214.717785708,-227.515745129,442.344923277,0.99996636908,100.999966318
26,1.04,-217.076263617,0.0761501583501,-10.444048625,431.830739104,10.4423853797,-214.717785708,-227.444162083,442.273124484,0.999966234909,100.999966182
27,1.08,-217.076277212,0.0760641026953,-10.3723769373,431.8307552,10.3705711846,-214.717785708,-227.372590046,442.201326384,0.999966101631,100.999966048
28,1.12,-217.076291925,0.0759749677968,-10.300712461,431.830772705,10.2987563481,-214.717785708,-227.301029418,442.129529053,0.999965968973,100.999965914
29,1.16,-217.076307839,0.0758827701674,-10.2290555795,431.830791727,10.2269408557,-214.717785708,-227.229480648,442.057732583,0.999965836745,100.99996578
30,1.2,-217.076325046,0.0757875265289,-10.1574067251,431.830812378,10.1551247041,-214.717785708,-227.157944244,441.985937082,0.999965704815,100.999965647
31,1.24,-217.076343643,0.0756892537734,-10.0857663843,431.830834781,10.0833079048,-214.717785708,-227.086420773,441.914142686,0.999965573089,100.999965514
32,1.28,-217.076363737,0.0755879689223,-10.0141351036,431.830859067,10.0114904874,-214.717785708,-227.014910872,441.842349555,0.999965441504,100.999965381
33,1.32,-217.076385443,0.0754836890861,-9.94251349616,431.830885376,9.93967250432,-214.717785708,-226.94341525,441.770557881,0.999965310017,100.999965248
34,1.36,-217.076408884,0.0753764314239,-9.87090224826,431.830913859,9.86785403611,-214.717785708,-226.871934701,441.698767895,0.999965178598,100.999965115
35,1.4,-217.076434194,0.0752662131038,-9.79930212742,431.830944675,9.79603519783,-214.717785708,-226.800470108,441.626979873,0.999965047226,100.999964983
36,1.44,-217.076461517,0.0751530512631,-9.72771399058,431.830977999,9.72421614649,-214.717785708,-226.729022457,441.555194145,0.999964915888,100.99996485
37,1.48,-217.076491008,0.0750369629719,-9.65613879315,431.831014013,9.65239708978,-214.717785708,-226.657592839,441.483411102,0.999964784574,100.999964717
38,1.52,-217.076522835,0.0749179651964,-9.58457759878,431.831052915,9.580578296,-214.717785708,-226.586182468,441.411631211,0.999964653279,100.999964585
39,1.56,-217.076557175,0.0747960747667,-9.51303158989,431.831094915,9.5087601056,-214.717785708,-226.51479269,441.33985502,0.999964521996,100.999964453
40,1.6,-217.076594223,0.0746713083469,-9.4415020789,431.831140238,9.43694294415,-214.717785708,-226.443424994,441.268083182,0.999964390724,100.99996432
41,1.64,-217.076634186,0.07454368241,-9.36999052029,431.831189125,9.36512733715,-214.717785708,-226.372081024,441.196316462,0.999964259461,100.999964188
